id;nazwa;info_zab;cena
"ZCCAPFI104C";"Canon PFI-104C cyan";"0.0";"0.0"
"ZCCAPFI104M";"Canon PFI-104M magenta";"0.0";"0.0"
"ZCCAPFI104MBK";"Canon PFI-104MBK matte black";"0.0";"0.0"
"ZCCAPFI104Y";"Canon PFI-104Y yellow";"0.0";"0.0"
"ZCCAPFI106B";"Canon PFI-106B blue";"0.0";"0.0"
"ZCCAPFI106BK";"Canon PFI-106BK black";"0.0";"0.0"
"ZCCAPFI106C";"Canon PFI-106C cyan";"0.0";"0.0"
"ZCCAPFI106G";"Canon PFI-106G green";"0.0";"0.0"
"ZCCAPFI106GY";"Canon PFI-106GY grey";"0.0";"0.0"
"ZCCAPFI106M";"Canon PFI-106M magenta";"0.0";"0.0"
"ZCCAPFI106MB";"Canon PFI-106MBK matte black";"0.0";"0.0"
"ZCCAPFI106PC";"Canon PFI-106PC photo cyan";"0.0";"0.0"
"ZCCAPFI106PGY";"Canon PFI-106PGY photo grey";"0.0";"0.0"
"ZCCAPFI106PM";"Canon PFI-106PM photo magenta";"0.0";"0.0"
"ZCCAPFI106R";"Canon PFI-106R red";"0.0";"0.0"
"ZCCAPFI106Y";"Canon PFI-106Y yellow";"0.0";"0.0"
"ZCCAPFI107S";"Canon PFI-107   SETUP";"0.0";"0.0"
"ZCCAPFI107B";"Canon PFI-107BK black";"0.0";"0.0"
"ZGCAPFI107C";"Canon PFI-107C cyan";"0.0";"0.0"
"ZGCAPFI107M";"Canon PFI-107M magenta";"0.0";"0.0"
"ZGCAPFI107B";"Canon PFI-107MBK matte black";"0.0";"0.0"
"ZGCAPFI107Y";"Canon PFI-107Y yellow";"0.0";"0.0"
"ZCCAPFI120B";"Canon PFI-120BK black";"0.0";"0.0"
"ZCCAPFI120C";"Canon PFI-120C cyan";"0.0";"0.0"
"ZCCAPFI120M";"Canon PFI-120M magenta";"0.0";"0.0"
"ZCCAPFI120MB";"Canon PFI-120MBK matte black";"0.0";"0.0"
"ZCCAPFI120Y";"Canon PFI-120Y yellow";"0.0";"0.0"
"ZCAPFI1300C";"Canon PFI-1300C cyan";"0.0";"0.0"
"ZCAPFI1300G";"Canon PFI-1300G grey";"0.0";"0.0"
"ZCAPFI1300M";"Canon PFI-1300M magenta";"0.0";"0.0"
"ZCAPFI1300MBK";"Canon PFI-1300MBK matte black";"0.0";"0.0"
"ZCCAPFI206B";"Canon PFI-206B blue";"0.0";"0.0"
"ZCCAPFI206BK";"Canon PFI-206BK black";"0.0";"0.0"
"ZCCAPFI206C";"Canon PFI-206C cyan";"0.0";"0.0"
"ZCCAPFI206G";"Canon PFI-206G green";"0.0";"0.0"
"ZCCAPFI206GY";"Canon PFI-206GY grey";"0.0";"0.0"
"ZACAPFI206M";"Canon PFI-206M magenta";"0.0";"0.0"
"ZCCAPFI206MBK";"Canon PFI-206MBK matte black";"0.0";"0.0"
"ZCCAPFI206PC";"Canon PFI-206PC photo cyan";"0.0";"0.0"
